add WorldObject
set Name MissileSilo
set StateController MissileSilo
set Model units/MissileSilo/MissileSilo.amf
set Material mat_MissileSilo
set CollisionZRel 0.5
set Collision "CapsuleZ 0.85 1.0"
set SpecialType Unit
set RangeArc 360
set HitPoints 1100
set Mass 1000000000.0
set LinearDamp 100.0
set AngularDamp 3.0
set RenderScale "1 1 1"
set HasRegularShot 0
set HasMissiles 0
set MoveSpeed 0.0
set NavmeshObstacle 2
set FireAnimation ""
set AttackPrepareAnim ""
set AttackRelaxAnim ""
set DeployAnim ""
set AbductRes 0.0
set ShotDamage 5000
set RangeBlast 8.0
set RangeFalloff 0.9
set DestructionEffects_1  "1 0.2 0  0.5 0  0 0 	ExpBlastRing ExplosionSeq1 BrightFlare /reqVis"\
set DestructionEffects_3  "1 1 0  10 5  0 0  MediumSmoke ExplosionFire FireBurnBig /dcl:shotGroundImpacts /dch:80 /mdl:units/GenXP/GenXPDxBase.amf /mtl:mat_GenXPDx /bne:bone_xbase /emt:Y /grp:DebrisM /col [Group DebrisM Box 0.8 0.7 0.8] /mas:1000 /skt:5 /canReclaim"
set DestructionEffects_4  "1 1 0  5 2   5 2  /mdl:units/GenXP/GenXPDxSide.amf /mtl:mat_GenXPDx /bne:bone_xside1 /emt:Y /grp:Debris /col [Group Debris Box 0.2 0.2 0.5] /mas:5 /vcb:40"
set DestructionEffects_5  "1 1 0  5 2   5 2  /mdl:units/GenXP/GenXPDxSide.amf /mtl:mat_GenXPDx /bne:bone_xside2 /emt:Y /grp:Debris /col [Group Debris Box 0.2 0.2 0.5] /mas:5 /vcb:40"
set DestructionEffects_6  "1 1 0  5 2   5 2  /mdl:units/GenXP/GenXPDxSide.amf /mtl:mat_GenXPDx /bne:bone_xside3 /emt:Y /grp:Debris /col [Group Debris Box 0.2 0.2 0.5] /mas:5 /vcb:40"
set DestructionEffects_7  "1 1 0  5 2   5 2  /mdl:units/GenXP/GenXPDxSide.amf /mtl:mat_GenXPDx /bne:bone_xside4 /emt:Y /grp:Debris /col [Group Debris Box 0.2 0.2 0.5] /mas:5 /vcb:40"
set CameraShakeOnDestroyed "40 0.6 0.6"
add WorldObject
set Name MissileSiloMarker
set StateController MissileSiloMarker
set RadarRange 0
set Model units/MissileSiloMarker/MissileSiloMarker.amf
set Material "mat_MissileSilo"
set Collision "Trigger Group TriggersMine CapsuleZ 1.25 1.0"
set SpecialType Unit
set HitPoints 1500
set CanHitGround 0
set CanHitAir 0
set MoveSpeed 0.0
set Mass 0.0
set HPModTransportWeight -600
set NavmeshObstacle 0
set AbductRes 0.0
set ShotDamage 5000
set RangeBlast 8.0
set RangeFalloff 0.9
